Product Name,Category,Product Image File - 1,Product Image File - 2,Product Description,Cost Price
Crystal Teardrop Floral Evening Necklace,JEWELRY;NECKLACE/EVENING,images/20190322/EVN0047-2C-17_3L-2L-18L-432263-900-4.jpg,,"Style No : 432263 Color : Clear, Gold Theme : Flower & Leaf  Necklace Size : 17"" + 3"" L Decor Size : 2"" L  Earring Size : 1.8"" L Crystal Teardrop Floral Evening Necklace",9.00
Teardrop Crystal Glass Cluster Evening Necklace,JEWELRY;NECKLACE/EVENING,images/20180223/EVN0041-3C-20_3L-25L-2L-380637-725-04.jpg,,"Style No : 380637 Color : Clear, Silver Theme : Pearl  Necklace Size : 20"" + 3"" L  Decor Size : 2.5"" L Earring Size : 2"" L Teardrop Crystal Glass Cluster Evening Necklace",7.25
Teardrop Crystal Glass Pearl Cluster Evening Necklace,JEWELRY;NECKLACE/EVENING,images/20190124/EVN0041-CR-20_3L-25L-2L-425288-725-04.jpg,,"Style No : 425288 Color : Clear, Cream, Gold Theme : Pearl  Necklace Size : 20"" + 3"" L  Decor Size : 2.5"" L Earring Size : 2"" L Teardrop Crystal Glass Pearl Cluster Evening Necklace",7.25
Teardrop Crystal Glass Pearl Cluster Evening Necklace,JEWELRY;NECKLACE/EVENING,images/20190124/EVN0041-WH-20_3L-25L-2L-425289-725-04.jpg,,"Style No : 425289 Color : Clear, Silver, White Theme : Pearl  Necklace Size : 20"" + 3"" L  Decor Size : 2.5"" L Earring Size : 2"" L Teardrop Crystal Glass Pearl Cluster Evening Necklace",7.25
Gold Dipped Cz Pave Star Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190316/PDN1245-RG-C-CZ-155_2L-12X12-431659-900-01.jpg,images/20190316/des_img/PDN1245-RG-C-CZ-155_2L-12X12-431659-900-01-1.jpg,"Style No : 431659 Color : Clear, Rose Gold  Theme : Star  Necklace Size : 15.5"" + 2"" L Pendant Size : 1.2"" X 1.2"" Lead and Nickel Compliant Made In Korea Gold Dipped CZ Cubic Zirconia  Gold Dipped CZ Pave Star Pendant Necklace",9.00
White Gold Dipped Cz Pave Star Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190316/PDN1245-R-CR-CZ-155_2L-12X12-431658-900-01.jpg,images/20190316/des_img/PDN1245-R-CR-CZ-155_2L-12X12-431658-900-01-1.jpg,"Style No : 431658 Color : Clear, Rhodium Theme : Star  Necklace Size : 15.5"" + 2"" L Pendant Size : 1.2"" X 1.2"" Lead and Nickel Compliant Made In Korea Gold Dipped CZ Cubic Zirconia  White Gold Dipped CZ Pave Star Pendant Necklace",9.00
Gold Dipped Cz Pave Star Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190316/PDN1245-G-CR-CZ-155_2L-12X12-431657-900-01.jpg,images/20190316/des_img/PDN1245-G-CR-CZ-155_2L-12X12-431657-900-01-1.jpg,"Style No : 431657 Color : Clear, Gold Theme : Star  Necklace Size : 15.5"" + 2"" L Pendant Size : 1.2"" X 1.2"" Lead and Nickel Compliant Made In Korea Gold Dipped CZ Cubic Zirconia  Gold Dipped CZ Pave Star Pendant Necklace",9.00
Gold Dipped Cz Pave Flip Flop Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190316/PDN1242-RG-C-CZ-14_1L-025X06-431641-600-01.jpg,images/20190316/des_img/PDN1242-RG-C-CZ-14_1L-025X06-431641-600-01-1.jpg,"Style No : 431641 Color : Clear, Rose Gold  Theme : Flip Flop, Sea Life, Shoes  Necklace Size : 14"" + 1"" L Pendant Size : 0.25"" X 0.6"" Lead and Nickel Compliant Made In Korea Gold Dipped CZ Cubic Zirconia  Gold Dipped CZ Pave Flip Flop Pendant Necklace",6.00
Gold Dipped Cz Pave Heart Key Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190316/PDN1240-RG-C-CZ-14_1L-06X03-431638-600-01.jpg,images/20190316/des_img/PDN1240-RG-C-CZ-14_1L-06X03-431638-600-01-1.jpg,"Style No : 431638 Color : Clear, Rose Gold  Theme : Heart, Key&Lock  Necklace Size : 14"" + 1"" L Pendant Size : 0.6"" X 0.3"" Lead and Nickel Compliant Made In Korea Gold Dipped CZ Cubic Zirconia  Gold Dipped CZ Pave Heart Key Pendant Necklace",6.00
Gold Dipped Cz Pave Tree Of Life Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190316/PDN1239-RG-C-CZ-14_1L-03X04-431635-450-01.jpg,images/20190316/des_img/PDN1239-RG-C-CZ-14_1L-03X04-431635-450-01-1.jpg,"Style No : 431635 Color : Clear, Rose Gold  Theme : Tree of Life  Necklace Size : 14"" + 1"" L Pendant Size : 0.3"" X 0.4"" Lead and Nickel Compliant Made In Korea Gold Dipped CZ Cubic Zirconia  Gold Dipped CZ Pave Tree of Life Pendant Necklace",4.50
