Product Name,Category,Product Image File - 1,Product Image File - 2,Product Description,Cost Price
Skull Charm Bead Bracelet,JEWELRY;BRACELET/ADJUSTABLE,images/20120618/FB03459-MG-YEL-12H-Adj-171740-225-01.jpg,,"Style No : 171740 Color : Purple , Yellow, Matte gold Theme : Halloween  Size : 1/2"" H / Adjustable Skull Charm Bead Bracelet",2.25
Skull Spike Stretch Bracelet,JEWELRY;BRACELET/STRETCH,images/20120921/SB0044-MT-34H-Str-180550-525-0.15.jpg,,"Style No : 180550 Color : Gold, Hematite, Copper, Clear Theme : Halloween  Size : 3/4"" H /Stretchable Skull Spike Stretch Bracelet",2.25
Skull Spike Stretch Bracelet,JEWELRY;BRACELET/STRETCH,images/20120921/SB0045-GD-CH-34H-Stre-180551-475-0.15.jpg,,"Style No : 180551 Color : Gold, Copper, Clear Theme : Halloween  Size : 3/4"" H /Stretchable Skull Spike Stretch Bracelet",2.00
Day Of The Dead Skull & Wings Lace Leather Bracelet,JEWELRY;BRACELET/FASHION,images/20150904/FB7886-WS-TQC-112H-7_1L-281526-600-015.jpg,images/20150904/des_img/FB7886-WS-TQC-112H-7_1L-281526-600-015-1.jpg,"Style No : 281526 Color : Red, Cream, Turquoise, Matte Silver Theme : Angel & Wings, Halloween  Size : 1 1/2"" H, 7"" + 1"" L Faux Leather Day of the Dead Skull & Wings Lace Leather Bracelet",6.00
Dream Big Thin Metal Hook Bracelet,JEWELRY;BRACELET/METAL,images/20170727/MSB4264-RH-DREAM-02H-25D-353962-300-01-.jpg,images/20170727/des_img/MSB4264-RH-DREAM-02H-25D-353962-300-01-1.jpg,"Style No : 353962 Color : Rhodium Theme : Message  Size : 3mm ID : 60 mm X 45 mm (2.5"" D) Dream Big Thin Metal Hook Bracelet",3.50
Dream Big Thin Metal Hook Bracelet,JEWELRY;BRACELET/METAL,images/20170714/MSB4264-RG-DREAM-02H-25D-352557-300-01-.jpg,images/20170714/des_img/MSB4264-RG-DREAM-02H-25D-352557-300-01-1.jpg,"Style No : 352557 Color : Rose Gold  Theme : Message  Size : 3mm ID : 60 mm X 45 mm (2.5"" D) Dream Big Thin Metal Hook Bracelet",3.50
Metal Stretch Bracelet,JEWELRY;BRACELET/STRETCH,images/20170727/SB603508-G-CRM-STR-1H-203935-250-02.jpg,,"Style No : 203935 Color : Gold, Cream  Size : 1"" H Metal Stretch Bracelet",2.50
Enamel Christmas Charm Bracelet,JEWELRY;BRACELET/FASHION,images/20170726/CB8795-S-MX-1H-25D-353616-275-01.jpg,,"Style No : 353616 Color : Multi, Silver Theme : Christmas  Size : 1"" H, 2.5"" D Enamel Christmas Charm Bracelet",2.75
Marquise Glass Crystal Teardrop Dangle Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170721/EVB7070-GD-PCH-STR-125H-353210-600-02.jpg,,"Style No : 353210 Color : Peach, Gold  Size : 1.25"" H Stretchable Marquise Glass Crystal Teardrop Dangle Stretch Bracelet",6.00
Marquise Glass Crystal Teardrop Dangle Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170721/EVB7070-GD-MON-STR-125H-353213-600-02.jpg,,"Style No : 353213 Color : Gold, Montana Blue  Size : 1.25"" H Stretchable Marquise Glass Crystal Teardrop Dangle Stretch Bracelet",6.00
